field,type,required_level,meaning,needed_by_rule_class,example_policy,if_missing,source_or_justification
schema_version,string,required,Schema version for the normalized trace format,preservation;debugging,All policies must know which schema semantics apply,INVALID_TRACE,Needed to make C1/C2/versioned adapters interpret fields consistently
events,array,required,Ordered collection of normalized events in the trace,all,All policies over trace behavior,INVALID_TRACE,"Needed because C2 checks policies over an event stream, not a single raw record"
event_id,string,required,Unique event identifier,temporal;provenance;taint;recovery_governance;state_pre_post,Tool failure must not be reported as success,INVALID_TRACE,Needed to link events and preserve event identity
trace_id,string,required,Trace/session identifier,all,All policies,INVALID_TRACE,Needed to group normalized events into one execution trace
step_id,integer|string,required,Execution order index within a trace,temporal;state_pre_post;provenance;recovery_governance,Approval before external send,UNKNOWN,Needed for temporal order and before/after checks
timestamp,string|number|integer|null,nullable,Wall-clock or logical event time,temporal;provenance;taint;recovery_governance,Approval must happen before external send,UNKNOWN,Needed when temporal order cannot be recovered from step_id alone
parent_event,string|null,nullable,Direct causal parent event,provenance;taint;temporal;recovery_governance,No untrusted retrieval to destructive tool,UNKNOWN,Needed for causal chain reconstruction
phase,string,required,Execution phase of the event,permission;temporal;state_pre_post;recovery_governance,Approval before action,UNKNOWN,Maps raw events to plan/before_action/after_action/state_change/finish hooks
action_type,string,required,High-level category of event/action,permission;provenance;taint;recovery_governance,No memory write without consent,UNKNOWN,Needed to classify agent behavior across frameworks
action_name,string,required,Canonical action/tool/API/operation name,permission;state_pre_post;privilege_confinement;provenance;taint;recovery_governance,Delete file requires approval,UNKNOWN,Needed for allow/deny rules and action-specific predicates
effect_type,string|null,nullable,Semantic effect of the action,permission;taint;recovery_governance;privilege_confinement;state_pre_post,Approval before external send,UNKNOWN,Needed to detect dangerous effects such as send/delete/execute
target_resource,string|null,nullable,Resource affected by the action,permission;privilege_confinement;taint;provenance;state_pre_post;recovery_governance,Access private data requires auth,UNKNOWN,Needed for target binding and same-target approval checks
typed_args,object,nullable,Structured action arguments,permission;state_pre_post;privilege_confinement;provenance;taint,Network access only to approved endpoints,UNKNOWN,Needed to bind concrete targets such as recipient/path/url/command
tool_output,json|null,nullable,Tool/API/code/retrieval/model output or observation,state_pre_post;provenance;taint;recovery_governance,Tool failure must not be reported as success,UNKNOWN,"Needed to link observations, errors, and final claims to actual outputs"
input_refs,array|null,nullable,Input event/output/source references consumed by event,provenance;taint;temporal;recovery_governance,No untrusted retrieval to destructive tool,UNKNOWN,Needed for data-flow and causal dependency checks
output_ref,string|null,nullable,Identifier for output produced by the event,provenance;taint;temporal;recovery_governance,Final answer grounded in source,UNKNOWN,Needed for output-source linkage
provenance,array|object|null,optional,Source IDs or provenance records used by event,provenance;taint;permission;recovery_governance;privilege_confinement,No untrusted retrieval to destructive tool,UNKNOWN,Needed for source tracking and evidence preservation
taint,object|null,optional,Taint/trust/sensitivity evidence for the event or data,taint;provenance;permission;privilege_confinement,No untrusted input to destructive tool,UNKNOWN,Needed for untrusted data-flow and source-sink rules
approval,object|null,optional,Approval evidence for permission/temporal/privilege rules,permission;temporal;privilege_confinement;recovery_governance,Approval before external send,UNKNOWN,Needed for approval-before-action and same-target approval checks
pre_state,json|null,nullable,Relevant state before action or transition,state_pre_post;permission;privilege_confinement;temporal,Valid precondition before tool execution,UNKNOWN,Needed for Hoare-style precondition rules
post_state,json|null,nullable,Relevant state after action or transition,state_pre_post;recovery_governance;temporal;provenance,Tool updates state correctly,UNKNOWN,Needed for postcondition and invariant rules
status,string,required,Execution or policy status of the event,recovery_governance;state_pre_post;permission;temporal,Tool failure must not be reported as success,UNKNOWN,Needed to detect failed/blocked/rewritten actions
error_type,string|null,nullable,Normalized error/failure/violation category,recovery_governance;permission;taint;provenance;state_pre_post,Retry on transient failure,UNKNOWN,Needed for recovery and intervention rules
reversibility,string|null,nullable,"How reversible, compensatable, or risky the action is",recovery_governance;permission;state_pre_post;privilege_confinement,Block irreversible dangerous action,UNKNOWN,Needed for intervention decisions around hard/irreversible actions
policy,object|null,optional,"Policy, capability, and allowed-action evidence",permission;privilege_confinement;recovery_governance;provenance,No privilege escalation,UNKNOWN,Needed to know active policy version and allowed action set
decision,object|null,optional,Verifier/governance decision evidence,recovery_governance;permission;temporal;state_pre_post;privilege_confinement,If evidence missing return UNKNOWN not SAFE,UNKNOWN,Needed to route allow/block/retry/replan/ask_user decisions
