paper_id,paper_title,year,rule_id,rule_description,normalized_rule,rule_class,trigger,condition,required_evidence,verdict_type,backend_candidate,notes
P01,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,2026,R001,Financial transfer to non-verified family member requires explicit user confirmation.,Do not execute Transfer unless the recipient is a verified family member or explicit prior user approval exists.,permission,phase=before_action AND action_name=Transfer,recipient_is_verified_family_member=false,action_name;recipient;recipient_relation;approval.event;approval.status;temporal_order,SAFE/VIOLATION/UNKNOWN,AgentSpec/Python/LTL,P01 Rule 1; approval-before-execution template.
P01,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,2026,R002,Python code that requests content from an untrusted source and writes or prints it requires user inspection.,"Do not execute PythonREPL code that consumes an untrusted source and writes, prints, or outputs the content unless user inspection approves it first.",taint,phase=before_action AND action_name=PythonREPL,"source.trust=untrusted AND effect_type IN {write,print,output}",code_input;source_url;trusted_whitelist;sink_effect;approval.event;approval.status;temporal_order,SAFE/VIOLATION/UNKNOWN,AgentSpec/Python/Taint,P01 Rule 2; secondary class=permission/provenance.
P01,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,2026,R003,Embodied agent must not pour liquid into an object that should not get wet.,Do not execute pour when target_object.wettable=false; stop before physical hazard occurs.,state_pre_post,phase=before_action AND action_name=pour,target_object.wettable=false,action_name;target_object;object_property;pre_state;planned_action_order;hazard_category,SAFE/VIOLATION/UNKNOWN,AgentSpec/Python/Hoare,P01 Rule 3; state/action precondition.
P01,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,2026,R004,Autonomous driving agent must correct behavior when front vehicle is too close.,"When front_vehicle_distance<10 during state_change, enforce corrective control before continuing the trajectory.",state_pre_post,event_type=state_change,front_vehicle_distance<10,current_state;previous_state;front_vehicle_distance;road_context;corrective_action;post_state,SAFE/VIOLATION/UNKNOWN,AgentSpec/Python/LTL/state-transition monitor,P01 Rule 4; state invariant with corrective action.
P02,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025,R005,Hallucinated or anomalous agent response must be removed before it propagates downstream.,Remove anomalous agent response nodes and outgoing propagation paths before subsequent collaboration rounds.,recovery_governance,event_type=agent_response AND timestep=t,node_anomaly_score>threshold AND outgoing_edges.exist,agent_id;timestep;response_text;node_attributes;anomaly_score;outgoing_edges;propagation_path;governance_action;next_round_order,SAFE/VIOLATION/UNKNOWN,Python graph monitor/LTL/Taint,P02 Rule 1; secondary class=temporal/provenance.
P02,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025,R006,Compromised agent node with high attribute anomaly must be excluded before others consume its output.,Exclude an agent node from later graph iterations when its response-attribute reconstruction error or anomaly score is high.,recovery_governance,event_type=agent_response AND timestep=t,attribute_reconstruction_error>threshold OR node_rank=highest_anomaly,agent_id;timestep;response_text;response_embedding;original_attributes;reconstructed_attributes;reconstruction_error;anomaly_score;downstream_recipients;node_removal,SAFE/VIOLATION/UNKNOWN,Graph anomaly detector/Python/LTL,P02 Rule 2; governance action must occur before downstream use.
P02,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025,R007,Corrupted inter-agent communication edge must be pruned or the affected node excluded.,Remove anomalous communication edges or affected nodes when edge-level corruption is detected before the corrupted information propagates.,provenance,"event_type=inter_agent_message AND edge=(sender,receiver)",edge_anomaly_score>threshold OR structural_reconstruction_error>threshold,sender_agent_id;receiver_agent_id;timestep;edge_id;original_message;received_message;adjacency;edge_anomaly_score;causal_link;prune_action,SAFE/VIOLATION/UNKNOWN,Provenance graph monitor/Python/Taint,P02 Rule 3; secondary class=taint.
P02,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025,R008,"Temporal graph compression must preserve anomaly-relevant temporal, structural, and attribute evidence.","Use a compressed temporal interaction graph only if task-relevant node attributes, edge structure, and temporal dependencies required for anomaly detection are preserved.",provenance,event_type=graph_abstraction OR phase=preprocessing,compression_enabled=true,original_graph;node_attributes;edge_set;compressed_representation;temporal_dependencies;information_flow_relation;reconstruction_loss;outcome_label,SAFE/VIOLATION/UNKNOWN,Evidence-completeness checker/Python/ablation verifier,P02 Rule 4; direct fit for preservation check.
P03,AgentBound: Securing Execution Boundaries of AI Agents,2026,R009,MCP server resource access is default-deny unless declared in manifest and granted at runtime.,Block MCP resource access unless the capability appears in AgentManifest and a concrete runtime permission with user consent exists.,permission,event_type=resource_access_attempt,requested_capability NOT_IN manifest.capabilities OR concrete_target NOT_IN runtime_permissions,server_id;tool_name;requested_capability;target_resource;concrete_target;manifest_capabilities;runtime_permissions;user_consent;access_mode,SAFE/VIOLATION/UNKNOWN,Python/Policy DSL/SMT/Sandbox,P03 Rule 1; least-privilege access control.
P03,AgentBound: Securing Execution Boundaries of AI Agents,2026,R010,Environment variable reads require declared env-read capability and variable-specific runtime permission.,Do not read environment variables unless mcp.ac.system.env.read is declared and the exact variable is whitelisted by runtime permission.,permission,effect_type=read AND target_resource=environment_variable,missing_env_read_capability OR env_var NOT_IN granted_variable_whitelist,action_name;effect_type;environment_variable_name;declared_capability;granted_variable_whitelist;server_id;user_consent;access_decision,SAFE/VIOLATION/UNKNOWN,Python/SMT/container env whitelist,P03 Rule 2; secret-protection permission.
